merchant_id,name_en,name_ar,category,in_directory,descriptor_patterns,amount_mean,amount_std,recurrence,aggregator,cities
M0013,Hail Government Office,مكتب حكومي حائل,government,True,"[""HAIL GOVERNMENT OFFICE"", ""HAILGOVERNMENTOFFICE"", ""HAIL_GOVERNMENT_OFFICE"", ""HGO"", ""SP*HAILGOVE""]",290.69,174.41,none,,"[""MAK""]"
M0014,Manuel Market,مانويل ماركت,groceries,True,"[""MANUEL MARKET"", ""MANUELMARKET"", ""MANUEL_MARKET"", ""MM""]",304.66,152.33,none,,"[""DMM"", ""JED"", ""MAD"", ""MAK"", ""RYD""]"
M0015,Little Caesars,ليتل سيزر,food,True,"[""LC"", ""LITTLE CAESARS"", ""LITTLECAESARS"", ""LITTLE_CAESARS""]",69.79,27.92,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""RYD""]"
M0016,Mak Mall 78,مول مكة 78,shopping,False,"[""MAK MALL 78"", ""MAKMALL78"", ""MAK_MALL_78"", ""MM7""]",448.86,269.32,none,,"[""HAIL"", ""MAD"", ""RYD""]"
M0017,Tif Pharmacy,صيدلية الطائف,health,True,"[""TIF PHARMACY"", ""TIFPHARMACY"", ""TIF_PHARMACY"", ""TP""]",361.27,180.63,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0018,Abha Pharmacy 35,صيدلية أبها 35,health,True,"[""ABHA PHARMACY 35"", ""ABHAPHARMACY35"", ""ABHA_PHARMACY_35"", ""AP3""]",140.63,70.31,none,,"[""DMM"", ""KHOBAR"", ""MAD"", ""RYD""]"
M0019,Ryd Cinema 75,سينما الرياض 75,entertainment,False,"[""RC7"", ""RYD CINEMA 75"", ""RYDCINEMA75"", ""RYD_CINEMA_75"", ""SP*RYDCINEM""]",38.93,11.68,none,,"[""HAIL""]"
M0020,Njran Cafe,مقهى نجران,food,True,"[""NC"", ""NJRAN CAFE"", ""NJRANCAFE"", ""NJRAN_CAFE""]",20.65,8.26,none,MRSOOL,"[""JED"", ""KHOBAR"", ""TIF""]"
M0021,Qassim Club,نادي القصيم,entertainment,True,"[""QASSIM CLUB"", ""QASSIMCLUB"", ""QASSIM_CLUB"", ""QC""]",79.56,23.87,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0022,Muvi Cinemas,موفي سينما,entertainment,True,"[""MC"", ""MUVI CINEMAS"", ""MUVICINEMAS"", ""MUVI_CINEMAS"", ""SP*MUVICINE""]",31.05,9.31,none,,"[""HAIL"", ""TABUK""]"
M0023,Hail Club,نادي حائل,entertainment,True,"[""HAIL CLUB"", ""HAILCLUB"", ""HAIL_CLUB"", ""HC"", ""SP*HAILCLUB""]",31.34,9.4,none,,"[""DMM"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0024,Saudia,السعودية,travel,True,"[""SAUDIA"", ""SAUDIA AIRLINES""]",1200,500,none,,"[""JED"", ""MAD"", ""RYD""]"
M0025,Tif Store 25,متجر الطائف 25,shopping,False,"[""SP*TIFSTORE"", ""TIF STORE 25"", ""TIFSTORE25"", ""TIF_STORE_25"", ""TS2""]",336.57,201.94,none,,"[""ABHA"", ""MAK"", ""TABUK""]"
M0026,Tif Store 19,متجر الطائف 19,shopping,True,"[""SP*TIFSTORE"", ""TIF STORE 19"", ""TIFSTORE19"", ""TIF_STORE_19"", ""TS1""]",231.78,139.07,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0027,Tabuk Training Center,مركز تدريب تبوك,education,False,"[""TABUK TRAINING CENTER"", ""TABUKTRAININGCENTER"", ""TABUK_TRAINING_CENTER"", ""TTC""]",1818.79,909.39,none,,"[""MAD"", ""RYD"", ""TIF""]"
M0028,Jizan Medical Center,مركز طبي جازان,health,True,"[""JIZAN MEDICAL CENTER"", ""JIZANMEDICALCENTER"", ""JIZAN_MEDICAL_CENTER"", ""JMC"", ""SP*JIZANMED""]",358.31,179.16,none,,"[""DMM"", ""JED"", ""RYD""]"
M0029,Hail Eatery,مطعم صغير حائل,food,False,"[""HAIL EATERY"", ""HAILEATERY"", ""HAIL_EATERY"", ""HE""]",49.26,19.7,none,,"[""JED"", ""MAK""]"
M0030,Tabuk Supermarket,سوبر ماركت تبوك,groceries,True,"[""TABUK SUPERMARKET"", ""TABUKSUPERMARKET"", ""TABUK_SUPERMARKET"", ""TS""]",347.28,173.64,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0031,United Pharmacy,الصيدلية المتحدة,health,True,"[""SP*UNITEDPH"", ""UNITED PHARMACY"", ""UNITEDPHARMACY"", ""UNITED_PHARMACY"", ""UP""]",113.73,56.87,none,,"[""KHOBAR"", ""YANBU""]"
M0032,Jizan Outlet,آوتلت جازان,shopping,True,"[""JIZAN OUTLET"", ""JIZANOUTLET"", ""JIZAN_OUTLET"", ""JO""]",528.97,317.38,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0033,Jizan Mall,مول جازان,shopping,False,"[""JIZAN MALL"", ""JIZANMALL"", ""JIZAN_MALL"", ""JM"", ""SP*JIZANMAL""]",500.11,300.07,none,,"[""ABHA"", ""TIF""]"
M0034,Hail Cafe,مقهى حائل,food,False,"[""HAIL CAFE"", ""HAILCAFE"", ""HAIL_CAFE"", ""HC""]",61.17,24.47,none,,"[""ABHA"", ""KHOBAR"", ""MAK""]"
M0035,Dmm Foundation,مؤسسة الدمام,charity,False,"[""DF"", ""DMM FOUNDATION"", ""DMMFOUNDATION"", ""DMM_FOUNDATION""]",195.88,117.53,none,,"[""ABHA"", ""QASSIM""]"
M0036,Wingstop,وينج ستوب,food,True,"[""WINGSTOP""]",21.15,8.46,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0037,Abha Mall,مول أبها,shopping,True,"[""ABHA MALL"", ""ABHAMALL"", ""ABHA_MALL"", ""AM"", ""SP*ABHAMALL""]",321.15,192.69,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0038,Tif Travel Agency,وكالة سفريات الطائف,travel,True,"[""SP*TIFTRAVE"", ""TIF TRAVEL AGENCY"", ""TIFTRAVELAGENCY"", ""TIF_TRAVEL_AGENCY"", ""TTA""]",1485.99,743.0,none,,"[""MAD"", ""RYD"", ""TIF""]"
M0039,Aldrees,الدريس,transport,True,"[""ALDREES"", ""AL DREES STATION""]",191.71,86.27,none,,"[""YANBU""]"
M0040,Mad Grill,مشوي المدينة,food,True,"[""MAD GRILL"", ""MADGRILL"", ""MAD_GRILL"", ""MG"", ""SP*MADGRILL""]",58.71,23.48,none,,"[""DMM"", ""HAIL"", ""TIF""]"
M0041,Jed Charity,جمعية خيرية جدة,charity,False,"[""JC"", ""JED CHARITY"", ""JEDCHARITY"", ""JED_CHARITY"", ""SP*JEDCHARI""]",235.57,141.34,none,,"[""ABHA"", ""HAIL"", ""QASSIM""]"
M0042,Dmm Eatery 70,مطعم صغير الدمام 70,food,False,"[""DE7"", ""DMM EATERY 70"", ""DMMEATERY70"", ""DMM_EATERY_70""]",52.52,21.01,none,,"[""TIF""]"
M0043,Yanbu Travel Agency,وكالة سفريات ينبع,travel,True,"[""SP*YANBUTRA"", ""YANBU TRAVEL AGENCY"", ""YANBUTRAVELAGENCY"", ""YANBU_TRAVEL_AGENCY"", ""YTA""]",1844.24,922.12,none,,"[""MAK"", ""TABUK""]"
M0044,Abha Boutique 31,بوتيك أبها 31,shopping,True,"[""AB3"", ""ABHA BOUTIQUE 31"", ""ABHABOUTIQUE31"", ""ABHA_BOUTIQUE_31"", ""SP*ABHABOUT""]",527.69,316.61,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0045,Al Baik,البيك,food,True,"[""ALBAIK"", ""AL BAIK"", ""BAIK"", ""البيك""]",45,18,none,,"[""TABUK""]"
M0046,Rehlati,رحلتي,travel,False,"[""REHLATI"", ""SP*REHLATI""]",2672.81,1336.4,none,,"[""JED""]"
M0047,Yanbu Telecom,اتصالات ينبع,telecom,True,"[""YANBU TELECOM"", ""YANBUTELECOM"", ""YANBU_TELECOM"", ""YT""]",130.88,39.26,monthly,,"[""JED""]"
M0048,Njran Foundation,مؤسسة نجران,charity,False,"[""NF"", ""NJRAN FOUNDATION"", ""NJRANFOUNDATION"", ""NJRAN_FOUNDATION""]",126.98,76.19,none,,"[""HAIL"", ""TIF""]"
M0049,Tamimi,التميمي,groceries,True,"[""TAMIMI"", ""TAMIMI MARKETS""]",244.14,122.07,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0050,Ryd Mart,تموينات الرياض,groceries,True,"[""RM"", ""RYD MART"", ""RYDMART"", ""RYD_MART"", ""SP*RYDMART""]",200.43,100.22,none,,"[""JIZAN"", ""YANBU""]"
M0051,Panda,بنده,groceries,True,"[""PANDA"", ""PANDA HYPER"", ""بنده""]",115.76,57.88,none,,"[""DMM"", ""JED"", ""MAD"", ""RYD""]"
M0052,Tif Diner 88,مطعم شعبي الطائف 88,food,True,"[""TD8"", ""TIF DINER 88"", ""TIFDINER88"", ""TIF_DINER_88""]",74.19,29.68,none,JAHEZ,"[""JED"", ""YANBU""]"
M0053,Dmm Charity,جمعية خيرية الدمام,charity,True,"[""DC"", ""DMM CHARITY"", ""DMMCHARITY"", ""DMM_CHARITY""]",255.42,153.25,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0054,Jizan Travel Agency,وكالة سفريات جازان,travel,True,"[""JIZAN TRAVEL AGENCY"", ""JIZANTRAVELAGENCY"", ""JIZAN_TRAVEL_AGENCY"", ""JTA""]",1959.28,979.64,none,,"[""JED"", ""MAK"", ""RYD""]"
M0055,Abha Diner,مطعم شعبي أبها,food,False,"[""ABHA DINER"", ""ABHADINER"", ""ABHA_DINER"", ""AD""]",22.69,9.08,none,,"[""JED"", ""NJRAN""]"
M0056,Njran Kitchen,مطبخ نجران,food,False,"[""NJRAN KITCHEN"", ""NJRANKITCHEN"", ""NJRAN_KITCHEN"", ""NK""]",38.67,15.47,none,,"[""ABHA"", ""MAD"", ""RYD""]"
M0057,Qassim Supermarket 71,سوبر ماركت القصيم 71,groceries,True,"[""QASSIM SUPERMARKET 71"", ""QASSIMSUPERMARKET71"", ""QASSIM_SUPERMARKET_71"", ""QS7""]",283.88,141.94,none,,"[""ABHA"", ""MAD"", ""TABUK""]"
M0058,OSN,او اس ان,entertainment,True,"[""OSN"", ""SP*OSN""]",72.52,21.76,monthly,,"[""MAD""]"
M0059,Qassim Parking 61,موقف سيارات القصيم 61,transport,True,"[""QASSIM PARKING 61"", ""QASSIMPARKING61"", ""QASSIM_PARKING_61"", ""QP6""]",216.64,97.49,none,,"[""KHOBAR""]"
M0060,Mad Club,نادي المدينة,entertainment,True,"[""MAD CLUB"", ""MADCLUB"", ""MAD_CLUB"", ""MC"", ""SP*MADCLUB""]",78.68,23.6,none,,"[""JED"", ""KHOBAR"", ""MAK""]"
M0061,Mak Training Center,مركز تدريب مكة,education,True,"[""MAK TRAINING CENTER"", ""MAKTRAININGCENTER"", ""MAK_TRAINING_CENTER"", ""MTC""]",2172.05,1086.03,none,,"[""DMM"", ""JED"", ""MAD"", ""MAK"", ""RYD""]"
M0062,Mad Supermarket,سوبر ماركت المدينة,groceries,True,"[""MAD SUPERMARKET"", ""MADSUPERMARKET"", ""MAD_SUPERMARKET"", ""MS""]",77.16,38.58,none,,"[""QASSIM""]"
M0063,Mad Boutique 92,بوتيك المدينة 92,shopping,True,"[""MAD BOUTIQUE 92"", ""MADBOUTIQUE92"", ""MAD_BOUTIQUE_92"", ""MB9""]",603.48,362.09,none,,"[""JIZAN""]"
M0064,Mad Telecom,اتصالات المدينة,telecom,True,"[""MAD TELECOM"", ""MADTELECOM"", ""MAD_TELECOM"", ""MT""]",90.54,27.16,monthly,,"[""JED"", ""MAD"", ""MAK"", ""RYD""]"
M0065,Njran Clinic 62,عيادة نجران 62,health,True,"[""NC6"", ""NJRAN CLINIC 62"", ""NJRANCLINIC62"", ""NJRAN_CLINIC_62"", ""SP*NJRANCLI""]",307.64,153.82,none,,"[""DMM"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0066,Tabuk Mall 23,مول تبوك 23,shopping,True,"[""SP*TABUKMAL"", ""TABUK MALL 23"", ""TABUKMALL23"", ""TABUK_MALL_23"", ""TM2""]",510.59,306.35,none,,"[""JED"", ""MAK"", ""RYD""]"
M0067,Noon,نون,shopping,True,"[""NOON"", ""NOON.COM""]",682.01,409.21,none,,"[""HAIL"", ""JED"", ""MAD""]"
M0068,Jizan Training Center 84,مركز تدريب جازان 84,education,True,"[""JIZAN TRAINING CENTER 84"", ""JIZANTRAININGCENTER84"", ""JIZAN_TRAINING_CENTER_84"", ""JTC8""]",1532.71,766.36,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAK""]"
M0069,Yanbu Store,محل بقالة ينبع,groceries,False,"[""YANBU STORE"", ""YANBUSTORE"", ""YANBU_STORE"", ""YS""]",114.03,57.02,none,,"[""RYD"", ""YANBU""]"
M0070,Jizan Clinic,عيادة جازان,health,False,"[""JC"", ""JIZAN CLINIC"", ""JIZANCLINIC"", ""JIZAN_CLINIC""]",401.51,200.75,none,,"[""KHOBAR"", ""QASSIM""]"
M0071,Khobar Restaurant,مطعم الخبر,food,True,"[""KHOBAR RESTAURANT"", ""KHOBARRESTAURANT"", ""KHOBAR_RESTAURANT"", ""KR"", ""SP*KHOBARRE""]",43.11,17.24,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""RYD""]"
M0072,Hail Game Zone,صالة ألعاب حائل,entertainment,True,"[""HAIL GAME ZONE"", ""HAILGAMEZONE"", ""HAIL_GAME_ZONE"", ""HGZ""]",49.47,14.84,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0073,Mad Fuel Station,محطة وقود المدينة,transport,False,"[""MAD FUEL STATION"", ""MADFUELSTATION"", ""MAD_FUEL_STATION"", ""MFS""]",100.31,45.14,none,,"[""ABHA"", ""QASSIM"", ""YANBU""]"
M0074,Salloum Restaurant,مطعم سلوم,food,True,"[""SALLOUM RESTAURANT"", ""SALLOUMRESTAURANT"", ""SALLOUM_RESTAURANT"", ""SR""]",70.24,28.1,none,,"[""MAD"", ""MAK"", ""NJRAN""]"
M0075,Khobar Supermarket,سوبر ماركت الخبر,groceries,False,"[""KHOBAR SUPERMARKET"", ""KHOBARSUPERMARKET"", ""KHOBAR_SUPERMARKET"", ""KS""]",97.92,48.96,none,,"[""JED"", ""KHOBAR"", ""MAK""]"
M0076,Khobar Mall,مول الخبر,shopping,False,"[""KHOBAR MALL"", ""KHOBARMALL"", ""KHOBAR_MALL"", ""KM""]",336.38,201.83,none,,"[""JED"", ""TABUK"", ""TIF""]"
M0077,Tif Tours,رحلات الطائف,travel,True,"[""TIF TOURS"", ""TIFTOURS"", ""TIF_TOURS"", ""TT""]",954.03,477.01,none,,"[""JIZAN"", ""NJRAN"", ""QASSIM""]"
M0078,Al Hokair Fashion Group,الحكير للأزياء,shopping,True,"[""AHFG"", ""AL HOKAIR FASHION GROUP"", ""ALHOKAIRFASHIONGROUP"", ""AL_HOKAIR_FASHION_GROUP""]",668.77,401.26,none,,"[""JIZAN"", ""RYD""]"
M0079,Dmm Utility Co,مرافق الدمام,bills,True,"[""DMM UTILITY CO"", ""DMMUTILITYCO"", ""DMM_UTILITY_CO"", ""DUC""]",384.03,134.41,monthly,,"[""DMM"", ""KHOBAR"", ""MAD""]"
M0080,Baladi,بلدي,government,True,"[""BALADI""]",143.93,86.36,none,,"[""ABHA"", ""JED"", ""RYD""]"
M0081,Khobar Grill,مشوي الخبر,food,True,"[""KG"", ""KHOBAR GRILL"", ""KHOBARGRILL"", ""KHOBAR_GRILL""]",35.63,14.25,none,,"[""DMM"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0082,Yanbu Game Zone,صالة ألعاب ينبع,entertainment,True,"[""YANBU GAME ZONE"", ""YANBUGAMEZONE"", ""YANBU_GAME_ZONE"", ""YGZ""]",79.79,23.94,none,,"[""DMM""]"
M0083,Al Dawaa,الدواء,health,True,"[""AL DAWAA"", ""DAWAA""]",166.15,83.08,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0084,Mak Tours 44,رحلات مكة 44,travel,False,"[""MAK TOURS 44"", ""MAKTOURS44"", ""MAK_TOURS_44"", ""MT4""]",1849.39,924.7,none,,"[""ABHA"", ""JIZAN"", ""KHOBAR""]"
M0085,Tabuk Utility Co,مرافق تبوك,bills,True,"[""TABUK UTILITY CO"", ""TABUKUTILITYCO"", ""TABUK_UTILITY_CO"", ""TUC""]",133.35,46.67,monthly,,"[""MAD"", ""QASSIM""]"
M0086,Lulu Hypermarket,لولو هايبرماركت,groceries,True,"[""LH"", ""LULU HYPERMARKET"", ""LULUHYPERMARKET"", ""LULU_HYPERMARKET""]",251.41,125.7,none,,"[""DMM"", ""KHOBAR"", ""MAK""]"
M0087,Hail Fuel Station,محطة وقود حائل,transport,False,"[""HAIL FUEL STATION"", ""HAILFUELSTATION"", ""HAIL_FUEL_STATION"", ""HFS"", ""SP*HAILFUEL""]",192.48,86.62,none,,"[""MAK"", ""RYD"", ""YANBU""]"
M0088,Shein,شي إن,shopping,True,"[""SHEIN""]",571.92,343.15,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0089,Abha Gas Station,محطة بنزين أبها,transport,True,"[""ABHA GAS STATION"", ""ABHAGASSTATION"", ""ABHA_GAS_STATION"", ""AGS""]",175.79,79.11,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0090,Yanbu Outlet 64,آوتلت ينبع 64,shopping,True,"[""YANBU OUTLET 64"", ""YANBUOUTLET64"", ""YANBU_OUTLET_64"", ""YO6""]",464.74,278.84,none,,"[""KHOBAR"", ""MAK"", ""RYD""]"
M0091,Coursera,كورسيرا,education,False,"[""COURSERA""]",2001.4,1000.7,monthly,,"[""MAK"", ""NJRAN"", ""TIF""]"
M0092,Tif Cafe,مقهى الطائف,food,True,"[""SP*TIFCAFE"", ""TC"", ""TIF CAFE"", ""TIFCAFE"", ""TIF_CAFE""]",89.63,35.85,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0093,Yanbu Eatery,مطعم صغير ينبع,food,True,"[""SP*YANBUEAT"", ""YANBU EATERY"", ""YANBUEATERY"", ""YANBU_EATERY"", ""YE""]",74.08,29.63,none,TOYOU,"[""ABHA"", ""DMM"", ""HAIL""]"
M0094,Njran Utility Co,مرافق نجران,bills,True,"[""NJRAN UTILITY CO"", ""NJRANUTILITYCO"", ""NJRAN_UTILITY_CO"", ""NUC""]",83.43,29.2,monthly,,"[""TABUK""]"
M0095,Ryd Club,نادي الرياض,entertainment,True,"[""RC"", ""RYD CLUB"", ""RYDCLUB"", ""RYD_CLUB"", ""SP*RYDCLUB""]",62.18,18.65,none,,"[""JED"", ""JIZAN"", ""YANBU""]"
M0096,Jizan Eatery,مطعم صغير جازان,food,True,"[""JE"", ""JIZAN EATERY"", ""JIZANEATERY"", ""JIZAN_EATERY""]",78.88,31.55,none,,"[""KHOBAR"", ""MAD"", ""MAK""]"
M0097,Abha Shop,محل أبها,shopping,True,"[""ABHA SHOP"", ""ABHASHOP"", ""ABHA_SHOP"", ""AS""]",261.33,156.8,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0098,Mak Bakery,مخبز مكة,food,False,"[""MAK BAKERY"", ""MAKBAKERY"", ""MAK_BAKERY"", ""MB""]",73.83,29.53,none,MRSOOL,"[""MAD"", ""NJRAN""]"
M0099,Mouwasat Hospital,مواساة,health,True,"[""MH"", ""MOUWASAT HOSPITAL"", ""MOUWASATHOSPITAL"", ""MOUWASAT_HOSPITAL""]",278.68,139.34,none,,"[""DMM"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0100,Tif Mall,مول الطائف,shopping,True,"[""TIF MALL"", ""TIFMALL"", ""TIF_MALL"", ""TM""]",265.23,159.14,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0101,Dmm Mart 6,تموينات الدمام 6,groceries,True,"[""DM6"", ""DMM MART 6"", ""DMMMART6"", ""DMM_MART_6"", ""SP*DMMMART6""]",263.15,131.57,none,,"[""KHOBAR"", ""MAD""]"
M0102,Yanbu Utility Co,مرافق ينبع,bills,True,"[""YANBU UTILITY CO"", ""YANBUUTILITYCO"", ""YANBU_UTILITY_CO"", ""YUC""]",220.4,77.14,monthly,,"[""JED"", ""MAD"", ""MAK""]"
M0103,Ryd Grocery,بقالة الرياض,groceries,True,"[""RG"", ""RYD GROCERY"", ""RYDGROCERY"", ""RYD_GROCERY""]",266.94,133.47,none,,"[""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0104,Khobar Pharmacy 83,صيدلية الخبر 83,health,False,"[""KHOBAR PHARMACY 83"", ""KHOBARPHARMACY83"", ""KHOBAR_PHARMACY_83"", ""KP8""]",67.26,33.63,none,,"[""ABHA"", ""JIZAN"", ""KHOBAR""]"
M0105,Mak Grill,مشوي مكة,food,True,"[""MAK GRILL"", ""MAKGRILL"", ""MAK_GRILL"", ""MG""]",69.54,27.82,none,TOYOU,"[""JED"", ""MAK"", ""RYD""]"
M0106,Tabuk Medical Center,مركز طبي تبوك,health,False,"[""TABUK MEDICAL CENTER"", ""TABUKMEDICALCENTER"", ""TABUK_MEDICAL_CENTER"", ""TMC""]",301.86,150.93,none,,"[""ABHA"", ""JED"", ""RYD""]"
M0107,Qassim Club 62,نادي القصيم 62,entertainment,False,"[""QASSIM CLUB 62"", ""QASSIMCLUB62"", ""QASSIM_CLUB_62"", ""QC6""]",68.67,20.6,none,,"[""YANBU""]"
M0108,Tabuk Tours,رحلات تبوك,travel,True,"[""SP*TABUKTOU"", ""TABUK TOURS"", ""TABUKTOURS"", ""TABUK_TOURS"", ""TT""]",1995.98,997.99,none,,"[""DMM"", ""JED"", ""MAK""]"
M0109,Mak Mobile Shop 49,محل جوالات مكة 49,telecom,True,"[""MAK MOBILE SHOP 49"", ""MAKMOBILESHOP49"", ""MAK_MOBILE_SHOP_49"", ""MMS4"", ""SP*MAKMOBIL""]",237.51,71.25,monthly,,"[""KHOBAR"", ""MAD"", ""MAK""]"
M0110,Qassim Institute,معهد القصيم,education,True,"[""QASSIM INSTITUTE"", ""QASSIMINSTITUTE"", ""QASSIM_INSTITUTE"", ""QI""]",491.52,245.76,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""RYD""]"
M0111,Centrepoint,سنتربوينت,shopping,False,"[""CENTREPOINT""]",535.94,321.56,none,,"[""MAK"", ""NJRAN""]"
M0112,Mad Utility Co 75,مرافق المدينة 75,bills,False,"[""MAD UTILITY CO 75"", ""MADUTILITYCO75"", ""MAD_UTILITY_CO_75"", ""MUC7""]",99.21,34.72,monthly,,"[""RYD""]"
M0113,Noon Academy,نون أكاديمي,education,True,"[""NA"", ""NOON ACADEMY"", ""NOONACADEMY"", ""NOON_ACADEMY""]",1533.03,766.51,monthly,,"[""JED"", ""MAD"", ""RYD""]"
M0114,Abha Club,نادي أبها,entertainment,True,"[""ABHA CLUB"", ""ABHACLUB"", ""ABHA_CLUB"", ""AC""]",59.07,17.72,none,,"[""KHOBAR""]"
M0115,Abha Telecom,اتصالات أبها,telecom,True,"[""ABHA TELECOM"", ""ABHATELECOM"", ""ABHA_TELECOM"", ""AT"", ""SP*ABHATELE""]",77.96,23.39,monthly,,"[""ABHA"", ""MAK"", ""TIF""]"
M0116,Mad Foundation,مؤسسة المدينة,charity,True,"[""MAD FOUNDATION"", ""MADFOUNDATION"", ""MAD_FOUNDATION"", ""MF""]",24.24,14.54,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD"", ""MAK""]"
M0117,Hail Eatery 67,مطعم صغير حائل 67,food,True,"[""HAIL EATERY 67"", ""HAILEATERY67"", ""HAIL_EATERY_67"", ""HE6"", ""SP*HAILEATE""]",42.19,16.88,none,MRSOOL,"[""DMM"", ""JED"", ""MAD"", ""RYD""]"
M0118,Jahez,جاهز,food,True,"[""JAHEZ"", ""JAHEZ*""]",75.53,30.21,none,,"[""JED"", ""TIF"", ""YANBU""]"
M0119,Abha Institute,معهد أبها,education,True,"[""ABHA INSTITUTE"", ""ABHAINSTITUTE"", ""ABHA_INSTITUTE"", ""AI""]",264.14,132.07,none,,"[""NJRAN"", ""QASSIM""]"
